entry_momentum,range_efficiency,trailing_sigma,cooldown_days,cagr,max_drawdown,sharpe,recent_cagr,recent_max_drawdown,stress_cagr,annual_turnover,emergency_exits,range_days
0.1,0.2,2.5,7,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
0.1,0.2,3.0,3,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
0.1,0.2,3.0,7,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
0.0,0.28,2.0,3,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.0,0.28,2.0,7,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.0,0.28,2.5,3,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.0,0.28,2.5,7,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.0,0.28,3.0,3,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.0,0.28,3.0,7,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.05,0.28,2.0,3,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.05,0.28,2.0,7,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.05,0.28,2.5,3,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.05,0.28,2.5,7,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.05,0.28,3.0,3,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.05,0.28,3.0,7,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.1,0.28,2.0,3,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.1,0.28,2.0,7,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.1,0.28,2.5,3,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.1,0.28,2.5,7,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.1,0.28,3.0,3,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
0.1,0.28,3.0,7,0.07069688197158475,-0.19679575131977578,0.7373821688259643,0.08415762629382795,-0.04696860053934715,0.06685473292635025,3.5932166004642254,43,462
